bucket	ids	published	date	section	line	text
EDIT	cdg-0039|cdg-4085	cdg-0039:true,cdg-4085:缺檔	2026-06-21	(前言平鋪)	39	鐵路A計畫 重複 — cdg-0039（A列車3，資料較全、已發佈為正本「鐵路A計畫」）與 cdg-4085（鐵路A計畫，offlinelist stub、留 unpublished）為同一遊戲 Artdink《A列車で行こうIII》，待 dedup/merge（2026-06-21）
SOURCE	cdg-1707	cdg-1707:true	2026-06-21	(前言平鋪)	40	射鵰英雄傳（cdg-1707）license — 由 unofficial 改 official（智冠 1992 金庸授權、第二款）；惟「射鵰已授權」僅由框架推論、無單獨一手句，待二次佐證（2026-06-21）
SOURCE	cdg-1136	cdg-1136:true	2026-06-21	(前言平鋪)	41	江湖外傳（cdg-1136）發行年 — repo/offlinelist 作 1994、青衫之友作 1993；暫採 1994、待釐清（2026-06-21）
SOURCE	cdg-2394	cdg-2394:true	2026-06-21	(前言平鋪)	42	明星職棒2（cdg-2394）中文化程度 — 線上查無，暫標 packaging／content_language=en（US 棒球模擬、軟體世界發行之時代慣例推論），待實物佐證（2026-06-21）
SOURCE	cdg-4291	cdg-4291:true	2026-06-21	(前言平鋪)	43	七俠五義：包公疑雲（cdg-4291）開發/發行掛名分歧 — 採「新瑞獅製作、第三波發行」（與使用者一致）；對岸百科多記「第三波科技研發」，金超群任藝術形象指導；待釐清（2026-06-21）
SOURCE	cdg-1160	cdg-1160:true	2026-06-21	(前言平鋪)	44	決戰皇陵（cdg-1160）— developer 採「大宗師工作室」、publisher 漢堂；大宗師是否為漢堂內部團隊待確認；製作人員名單僅 Omega 單源、未補入（2026-06-21）
SOURCE	cdg-2990|cdg-4291|cdg-0457	cdg-2990:true,cdg-4291:true,cdg-0457:true	2026-06-21	(前言平鋪)	45	公司頁待建 — 華彩軟體（劍靈 cdg-2990 發行）、新瑞獅（七俠五義 cdg-4291 製作）、大點科技（魚美人 cdg-0457 開發）；大點科技 developer_region（TW/CN）亦待考（2026-06-21）
?	cdg-0457	cdg-0457:true	2026-06-21	(前言平鋪)	46	魚美人（cdg-0457）— 開發商由「愛勝」訂正為「大點科技」、年份 2002→2001（百度百科：2001-08-26 智冠發行）；「愛勝科技」查無佐證、研判為 AI 摘要幻覺（2026-06-21）
EDIT	cdg-3727|cdg-3998|cdg-3727	cdg-3727:true,cdg-3998:缺檔,cdg-3727:true	2026-06-21	(前言平鋪)	47	魔法門3（cdg-3727）與 cdg-3998（魔法門III stub、軟體世界珍140）重複 — 同款 Might & Magic III 智冠/軟體世界中文版，cdg-3727 為正本已發佈，待 dedup；license 暫標 unofficial（軟體世界 budget 未授權假設）、中文版年 1992 僅青
SOURCE	cdg-1361	cdg-1361:true	2026-06-21	(前言平鋪)	48	陸空戰將（cdg-1361）— ＝Strike Commander(Origin/EA 1993)；是否真有台灣中文版 vs 僅通行譯名待查，暫標 packaging/en/unofficial（2026-06-21）
?	cdg-2410	cdg-2410:true	2026-06-21	(前言平鋪)	49	X戰機（cdg-2410）— 標題由殘缺「星際大戰：」訂正為「星際大戰：X翼戰機」(Star Wars: X-Wing, 松崗代理首作)；中文化程度查無、暫 packaging/en（2026-06-21）
SOURCE	cdg-0295|cdg-4526	cdg-0295:true,cdg-4526:true	2026-06-21	(前言平鋪)	50	中國（cdg-0295）／中國貳（cdg-4526）台灣發行商待查 — 中國貳的「光譜/網竣」為維基單源；中國貳係 Windows 2002（DOS 範圍外、依過渡期慣例收錄、手建並補 id-registry）（2026-06-21）
SOURCE	cdg-1306	cdg-1306:true	2026-06-21	(前言平鋪)	51	奇門遁甲之九五真龍（cdg-1306）— license 由 unofficial 改 null（智冠原創、朱元璋明朝題材、無第三方 IP）；發行年 1993/1994 兩說、製作人僅單一電商來源未採（2026-06-21）
?	cdg-1656	cdg-1656:true	2026-06-21	(前言平鋪)	52	倚天屠龍記（cdg-1656）— 開發單位「年輕槍手工作室」、license unofficial→official（金庸授權系列）；「製作人徐昌隆」為誤植（徐昌隆/河洛屬 1996《金庸群俠傳》），勿採（2026-06-21）
?	cdg-1034	cdg-1034:true	2026-06-21	(前言平鋪)	53	四川麻將（cdg-1034）— 使用者 hint「台軟科技」查無佐證（old-games.ru 中「台軟」有廠商名但無對應作品）；維持開發商尋夢園、年份 1992→1993 訂正；研判台軟款不存在（2026-06-21）
?	cdg-4061	cdg-4061:true	2026-06-21	(前言平鋪)	54	第十八空降旅（cdg-4061）— 訂正為光譜資訊(T-Time)自製、native、年份 1992→1993；非「光譜代理外國兵棋」（使用者推測的外國原作查無）（2026-06-21）
SOURCE	cdg-2448|cdg-1939	cdg-2448:true,cdg-1939:true	2026-06-21	(前言平鋪)	55	傑克豆工作室（時空異變 cdg-2448／異域奇兵 cdg-1939）發行商待考 — omega 單源記「宏申資訊」發行、編年史記傑克豆自行發行；傑克豆是否隸屬某公司亦無實證，勿寫死。異域奇兵劇情查無、未補（2026-06-21）
?	cdg-4254	cdg-4254:true	2026-06-21	(前言平鋪)	56	特技島（cdg-4254）— 英文原作 Stunt Island(The Assembly Line/Disney 1992) 確證；「第三波代理」僅 rwv 單源、台灣版年份與中文化程度查無，暫標 packaging/en（2026-06-21）
?	cdg-2303	cdg-2303:true	2026-06-21	(前言平鋪)	57	文明帝國1（cdg-2303）— genre 由教育養成改策略（4X 回合制，與文明帝國2 一致）；第三波 packaging（系列至文明帝國V 才首次官方繁中）（2026-06-21）
SOURCE	cdg-0161	cdg-0161:true	2026-06-21	(前言平鋪)	58	「H.C.L」署名身分待考 — 見於《軟體世界》雜誌作者署名，亦見於《七笑拳》(cdg-0161) 工作人員名單（staff 已收）；真實身分不明，**與劉昭毅無關**，待考是否值得另立人物頁（2026-06-21）
SOURCE	cdg-2845	cdg-2845:true	2026-06-21	(前言平鋪)	60	蜥蜴超人（cdg-2845）— DOMO 小組歸屬僅百度系單源、未採；主角名「蕭建仁/健仁」維基與青衫拼法不一，採維基「建」（2026-06-21）
?	cdg-2476	cdg-2476:true	2026-06-21	(前言平鋪)	61	最後武力（cdg-2476）發行年 — 多數年表（Fandom/巴哈/PTT）作 1991、青衫之友作 1990；採 1991（2026-06-21）
SOURCE	cdg-2125	cdg-2125:true	2026-06-21	(前言平鋪)	62	緋王傳2（cdg-2125）訂正 — 原誤標 native/大宇/角色扮演/TW；實為日本 Wolf Team 開發、Telenet 原發行、大宇代理中文版，已改 localized/Wolf Team(JP)/策略/series 緋王傳。日本原作 PC-9801 年份 1993/1994 兩說待考；「大宇第一款日本代
SOURCE	cdg-2905|cdg-2906	cdg-2905:true,cdg-2906:true	2026-06-21	(前言平鋪)	63	銀河英雄傳說IV EX（cdg-2905 DOS／cdg-2906 Windows）— 釐清為同作不同平台版（非重複）：2905 微波 DOS、2906 大宇 Windows95 移植，已拆分圖／來源並互連。日本原版年 1996/1997 異說、微波→大宇代理權轉移為彙整推論待考（2026-06-21）
SOURCE	cdg-2907	cdg-2907:true	2026-06-21	(前言平鋪)	64	銀河英雄傳說V（cdg-2907）— 台版年 2000、發售元 Bothtec、3DCG/200+動畫/60+劇本皆單源或推定，待考；日本原版 1998（2026-06-21）
?	cdg-3094	cdg-3094:true	2026-06-21	(前言平鋪)	65	格鬥拳王（cdg-3094）— 玩法描述僅青衫之友單源；genre 由運動動作改格鬥（清版動作）；與 SNK 拳皇 KOF 無關（2026-06-21）
DECIDE	cdg-1651|cdg-1652|cdg-1651|cdg-1652|cdg-1651	cdg-1651:缺檔,cdg-1652:true,cdg-1651:缺檔,cdg-1652:true,cdg-1651:缺檔	2026-06-21	(前言平鋪)	67	倉庫世家 撞名待決（cdg-1651 vs cdg-1652）— cdg-1651「倉庫世家」實為外國 shareware Box World（Jeng-Long Jiang、Win3.1、無台灣發行、無中文化），嚴格說在收錄範圍外；大宇真正的《倉庫世家》是 cdg-1652「倉庫世家：精彩篇」（方格子研發[單源]/大
SOURCE	cdg-4528	cdg-4528:缺檔	2026-06-21	(前言平鋪)	68	春秋爭霸傳二（cdg-4528，新建）— 使用者寫「春秋爭霸戰2」係下載站誤植，正名《春秋爭霸傳二：問鼎天下》（大宇 1996）；製作人員查無多源、未填；catalog_id 待補（2026-06-21）
?	cdg-3707	cdg-3707:true	2026-06-21	(前言平鋪)	69	魔法世紀2（cdg-3707）發行年 — 多數源作 1994、Fandom 著錄作 1995；採 1994。續作開發團隊狂徒創作群僅 Newton 單源、未寫入 dev_team（2026-06-21）
SOURCE	cdg-3770	cdg-3770:true	2026-06-21	(前言平鋪)	70	魔神戰記2（cdg-3770）發行年 — 1996（開發/上市）與 1997（Fandom 發售 1997-01-15）兩說，採 1997；製作「亞特斯小組」未設 dev_team（2026-06-21）
SOURCE	cdg-3070	cdg-3070:true	2026-06-21	(前言平鋪)	71	末日寶典（cdg-3070）發行商 — 宏申資訊僅 omega 單源、未寫入 publisher_tw；傑克豆工作室是否正式公司登記待考（2026-06-21）
?	cdg-1487	cdg-1487:true	2026-06-21	(前言平鋪)	72	美少女特勤組（cdg-1487）— year 由日本原版 1994 改台版 1995；genre 一手 omega 偏 AVG（採角色扮演，body 註明含 AVG）；developer_region 補 JP（2026-06-21）
SOURCE	cdg-2350	cdg-2350:true	2026-06-21	(前言平鋪)	73	新美女拳（cdg-2350）— catalog_id 現為 RSZ001、惟盒裝代碼為 SR907，疑不符待查；developer 花與蝴蝶國別無一手佐證、維持 null；是否有前作「美女拳」待考（2026-06-21）
SOURCE	cdg-1366	cdg-1366:true	2026-06-21	(前言平鋪)	74	隋唐爭霸（cdg-1366）— 斯普軟件＝成都大陸廠（developer_region 補 CN、localization 改 localized）；與斯普《新隋唐演義》(2002) 關係不明、勿合併；斯普為大陸廠主要靠 omega+zhihu，待硬佐證（2026-06-21）
?	cdg-1367	cdg-1367:true	2026-06-21	(前言平鋪)	75	隋唐群雄傳（cdg-1367）— 正名「隋唐群雄傳」（bilibili UP 標「隋唐英雄傳」係誤植、已列 alias）（2026-06-21）
?	cdg-1365	cdg-1365:true	2026-06-21	(前言平鋪)	76	隋唐演義（cdg-1365）— 已擴充正文；流通缺片、玩法細節查無；分類索引有「角色扮演」異說，採回合策略（2026-06-21）
?	cdg-0195	cdg-0195:true	2026-06-21	(前言平鋪)	77	卒業旅行（cdg-0195）— chiuinan 標原開發「G.Labo」與日文維基等多源「JANIS」衝突、採 JANIS；developer_region 補 JP（2026-06-21）
SOURCE	cdg-0458	cdg-0458:true	2026-06-21	(前言平鋪)	78	天地劫三部曲（cdg-0458/0459/0460）— 三作皆漢堂開發、智冠代理（已補 publisher 智冠）；漢堂後被智冠收購改名智樂堂，與宇峻奧汀無關；0460 正名「天地劫外章：寰神結」（官方「外章」，俗稱「外傳」列 alias）；0459/0460 製作名單主要倚維基、待實體佐證（2026-06-21）
SOURCE	cdg-0784	cdg-0784:true	2026-06-21	(前言平鋪)	79	塔克拉瑪干：敦煌傳奇（cdg-0784）— 1995 PC 原版、後移植 Mac/SS/PS（platform_note 僅標 Windows）；語言版本數 9 vs 10 異說；「84 年度傑出資訊獎」單源待考（2026-06-21）
?	cdg-4529	cdg-4529:true	2026-06-21	(前言平鋪)	80	星河戰士（cdg-4529，新建）— MX-151、Apple II 1987、精訊發行、劉昭毅在學獨力開發，「中文第一款 RPG」；平台 Apple II（非 DOS，依早期平台前收政策收錄）；協力者李永志/葉明璋僅 cngames 單源、未入 staff（2026-06-21）
SOURCE	cdg-2172	cdg-2172:true	2026-06-21	(前言平鋪)	83	地標款殘留待考 — 仙劍「上市首日售罄萬份」僅單源（已軟化未寫死數字）；笑傲江湖 size:1CD 疑誤（1993 DOS 20MB 應為磁片）、發行日 3/29 與人物數 31 單源待考；三國群英傳 publisher 智冠僅 chiuinan/catalog 單源；軒轅劍2 六人編劇名單僅 chiuinan 單源（
SOURCE	cdg-2865|cdg-2874|cdg-2874|cdg-2865|cdg-2874	cdg-2865:true,cdg-2874:缺檔,cdg-2874:缺檔,cdg-2865:true,cdg-2874:缺檔	2026-06-21	(前言平鋪)	84	金庸群俠傳 重複 — 正本＝cdg-2865（智冠/河洛 1996，已發佈、已豐富，含 adaptation 金庸、在金庸專題）；cdg-2874 實為 2017 同人版「紳士無雙版」(風礦)、且被合併了 1996 的圖源（legend/jys/jysa/jyx/jyx_sw）。cdg-2874 維持未發佈，待決 de
SOURCE	cdg-3924|cdg-3264|cdg-3265|cdg-3266|cdg-3924	cdg-3924:true,cdg-3264:true,cdg-3265:true,cdg-3266:true,cdg-3924:true	2026-06-21	(前言平鋪)	85	炎龍騎士團 cdg-3924 為 I+II 合輯殘骸 — 真正首作＝cdg-3264 邪神之封印(1994 已發佈)、二代 cdg-3265、外傳 cdg-3266；cdg-3924 原 region 誤標 CN/無 developer，已修為漢堂/TW 但維持未發佈，待決 dedup/merge（2026-06-21
SOURCE	cdg-1601	cdg-1601:true	2026-06-21	(前言平鋪)	86	便利商店（cdg-1601）— developer/publisher 富峰群(1999 同年更名遊戲橘子)、region 補 TW、series 補；「銷量120萬套」查無佐證未採（多源僅見上市兩天逾3萬套、1999 銷售冠軍）；平台 DOS vs 早期Windows 單源待考（2026-06-21）
SOURCE	cdg-0691|cdg-0689	cdg-0691:true,cdg-0689:false	2026-06-21	(前言平鋪)	87	印加帝國2（cdg-0691）中文化程度 — 已補完發佈；智冠代理、有中文盒裝掃描（box-front/back）故定 packaging，惟本作 FMV／配音為英文、in-game 是否有中文字幕未確認，content_language 暫 en，待實物佐證。另 cdg-0689「印加帝國」實為 Ubisoft《Th
SOURCE	cdg-3064|cdg-4092|cdg-4092|cdg-3064|cdg-4092	cdg-3064:true,cdg-4092:缺檔,cdg-4092:缺檔,cdg-3064:true,cdg-4092:缺檔	2026-06-22	(前言平鋪)	89	天使角力賽3／擂臺美少女 重複 — cdg-3064（擂臺美少女，資料完整、已補正文發佈用）與 cdg-4092（天使角力賽3(擂臺美少女)，空 stub、offlinelist merge）確認為同一款（Wrestle Angels 3，GREAT/華義/1994）。建議 cdg-4092 併入 cdg-3064（a
SOURCE	cdg-4087	cdg-4087:true	2026-06-22	(前言平鋪)	90	天使角力賽 cdg-4087 genre 待確認 — 系列初代為「卡片戰鬥」摔角，暫定 SPG（運動題材）；可能更適 TBG/FTG，待玩法佐證（2026-06-22）
SOURCE	cdg-1568	cdg-1568:true	2026-06-22	(前言平鋪)	91	仙劍客棧 cdg-1568 開發實體 — 實際由大宇北京子公司「北京軟星」開發（developer 仍標大宇/TW、正文已註明）；待決 developer_region 是否改 CN（2026-06-22）
SOURCE	-	(無id)	2026-06-22	(前言平鋪)	92	製作人員名單查無（本批共通）— 超時空英雄傳說2/外傳/3、聖少女戰隊1/2/3、特勤機甲隊系列、超級醫生3、軒轅聖戰錄、玉蒲團、美國的惡夢 個別 staff（製作人/企劃/美術/音樂）多源查無，未填 staff[]，待實體說明書/credits 佐證（2026-06-22）
SOURCE	-	(無id)	2026-06-22	(前言平鋪)	93	聖少女戰隊原始平台 PC-98 單源 — 僅巴哈孤舟一文明指「PC-98 移植」，chiuinan 僅依檔案推測 DOS；developer_region 已補 JP，平台來源待二次查證（2026-06-22）
SOURCE	cdg-2230	cdg-2230:true	2026-06-22	(前言平鋪)	94	超級醫生3 cdg-2230 平台 — chiuinan/PTT 未逐字標 OS，platform_note: Windows 係依「1998/1CD/圖形版」+既有 frontmatter 推測，待原始包裝佐證（2026-06-22）
?	-	(無id)	2026-06-22	(前言平鋪)	95	西遊釋厄傳 不收錄 — 1997 鈊象街機(Oriental Legend)，DOS/Windows 時代無官方 PC 移植版（露天 MAME 打包、2025 Steam 街機合集均為模擬重發）；依「DOS 時代中文 PC 遊戲」範圍排除（2026-06-22）
SOURCE	cdg-0162|cdg-0163	cdg-0162:true,cdg-0163:true	2026-06-22	(前言平鋪)	96	七英雄外傳：王者之師（cdg-0162）開發歸屬 — 非天堂鳥自製：實為大陸工作室借「七英雄物語」名號開發、天堂鳥子公司福旭發行（與日本姬屋《七英雄物語》cdg-0163/0164 正傳無關）；正文已誠實註明，惟 developer 仍標天堂鳥（無具名陸廠），developer_region 待議（2026-06-22
EDIT	cdg-4150|cdg-4296|cdg-4296|cdg-4150	cdg-4150:true,cdg-4296:false,cdg-4296:false,cdg-4150:true	2026-06-22	(前言平鋪)	97	邪神 重複 — cdg-4150（邪神，已補正天堂鳥/1997/RPG/武俠+正文，作正本）與 cdg-4296（邪神 Evil God，空 stub、omega 來源）為同一款，待 dedup（cdg-4296 併入 cdg-4150，英文名 Evil God 已收為 4150 alias）（2026-06-22）
SOURCE	cdg-3906	cdg-3906:true	2026-06-22	(前言平鋪)	98	天帝之子（cdg-3906）發行年 — 已補 developer 天堂鳥/福旭發行/RPG；year 採 1998（DB/Fandom），另有 1997-01-15 異說，正文已並陳，待定奪（2026-06-22）
SOURCE	cdg-0166|cdg-0165	cdg-0166:true,cdg-0165:true	2026-06-22	(前言平鋪)	99	八女神物語2（cdg-0166）成人向 — 一代 cdg-0165 標 adult:true，二代攻略稱「遮蔽率增加」、無權威分級佐證，暫未標 adult，待考（2026-06-22）
?	cdg-4531	cdg-4531:true	2026-06-22	(前言平鋪)	100	諸神的封印（cdg-4531，新建）— 天堂鳥 1997 自製 DOS RPG，資料主要靠 bangumi subject-343212（1997-07-15、岩仔尋勇士號角對抗鬼王共古）；catalog_id/製作人員查無（2026-06-22）
EDIT	cdg-1032|cdg-4086|cdg-1032	cdg-1032:true,cdg-4086:缺檔,cdg-1032:true	2026-06-22	(前言平鋪)	101	四川省3 重複 — cdg-1032（四川省3天府之國，已補正文發佈用）與 cdg-4086（同名空 stub、offlinelist@merge）為同一款，待 dedup 併入 cdg-1032（2026-06-22）
?	cdg-3842	cdg-3842:true	2026-06-22	(前言平鋪)	102	百戰水管工（cdg-3842）開發商查無 — 宏碁發行、1995 接水管益智（Pipe Mania 類）；developer 留 null（推測宏碁旗下/第三波，無一手佐證），region 暫 TW（2026-06-22）
SOURCE	cdg-3932	cdg-3932:true	2026-06-22	(前言平鋪)	103	智聖鮮師（cdg-3932）玩法待考 — 第三波 1994、「至聖先師」諧音、模擬經營（CMS）；玩法/劇情查無文字資料（僅封面與截圖），辦學經營為合理推斷（2026-06-22）
?	cdg-2933	cdg-2933:true	2026-06-22	(前言平鋪)	104	凱蘭迪亞傳奇1（cdg-2933）台版年查無 — 第三波中文化確認，但台灣中文版確切發行年無可靠來源，year 暫採原作 1992（2026-06-22）
?	cdg-0503	cdg-0503:true	2026-06-22	(前言平鋪)	105	太閣立志傳 cdg-0503 title「太閣立志傳1」 — 使用者本批未要求去數字，暫保留；如要與「勇者鬥惡龍」初代一致去數字可再處理（2026-06-22）
?	-	(無id)	2026-06-22	(前言平鋪)	106	第三波代理線批次 — 本批 8 款外國遊戲（巫術6/凱蘭迪亞1,2/黑暗王座/沙丘魔堡/太閣立志傳/信長5霸王傳/航空霸業2/A列車4）皆第三波中文化代理；KOEI 遊戲台灣第9代《嵐世記》(2001) 起才由台灣光榮接手（2026-06-22）
SOURCE	cdg-1319	cdg-1319:true	2026-06-23	(前言平鋪)	107	臥虎藏龍之青冥劍（cdg-1319）adaptation.author 與 朝代矛盾 — (a) 目前 `adaptation.author: 李安`（電影導演），與正文點明的小說原作者王度廬不符；schema author 為原著作者，建議改為 `medium: 小說 / author: 王度廬` 或直接拿掉 aut
?	cdg-0369	cdg-0369:true	2026-06-23	(前言平鋪)	109	大富翁6（cdg-0369）developer 與 北京軟星 時間線 — 寫成「軟星科技（北京）開發、developer_region: CN」依 wiki 來源；review agent 質疑北京軟星成立年（2003 vs 2000）與 大富翁6 (2002) 的先後關係，建議核對北京軟星與上海軟星設立年份與大富翁6
SOURCE	cdg-1133|cdg-3875	cdg-1133:true,cdg-3875:true	2026-06-23	(前言平鋪)	113	「太極工作室」歸屬待考 — 江南才子唐伯虎（cdg-1133）與劉備傳（cdg-3875）使用者明示開發為「太極工作室」，但外部公開來源（百度百科／PTT／3DM 等）均未直接證實該名為智冠內部小組還是獨立廠商。兩款條目暫直接掛 developer 太極工作室、publisher_tw 智冠，待第一手資料佐證關係（20
SOURCE	cdg-3855	cdg-3855:true	2026-06-24	(前言平鋪)	114	風雲天下三國篇（cdg-3855）開發商 — 巴哈表格記「至通科技研發、智冠發行」，Fandom 記「智冠開發/發行」；本次依表格採至通科技＋智冠，待實物或廣告二次佐證（2026-06-24）
?	cdg-3359	cdg-3359:true	2026-06-24	(前言平鋪)	115	赤壁之戰（cdg-3359）發行年 — chiuinan/Fandom/既有資料庫作 1994，巴哈表格作 1995-01-01；metadata 暫維持 1994，正文並陳差異（2026-06-24）
?	cdg-1320	cdg-1320:true	2026-06-24	(前言平鋪)	116	臥龍傳（cdg-1320）發行月 — Fandom/既有 metadata 僅作 1995，巴哈表格註記《軟體世界》1995 年 5 月號寫 6 月上旬出版；metadata 暫維持 1995，正文並陳出版預告記法（2026-06-24）
SOURCE	cdg-1392|cdg-4103	cdg-1392:true,cdg-4103:缺檔	2026-06-24	(前言平鋪)	117	勇者鬥惡龍2（cdg-1392）年份與重複 registry — chiuinan/既有 metadata 作 1990，巴哈表格作 1991?；metadata 暫維持 1990，正文並陳。`data/id-registry.json` 另有無 content 檔的 `cdg-4103`「勇者鬥惡龍2」active 
SOURCE	cdg-4540	cdg-4540:true	2026-06-24	(前言平鋪)	118	屠龍戰記（cdg-4540）台灣發售狀態 — 使用者補充本作為韓國 Dot & Bit《Darkness／다크니스》，歡樂盒代理預告、ARPG；見《電腦玩家》第 55 期（1996 年 2 月號）封面故事與《軟體世界》82–88 期「新片動向」延後紀錄，從 3 月下旬延到 10 月未定，是否實際出片待查（2026-06
EDIT	cdg-1796|cdg-4095	cdg-1796:true,cdg-4095:false	2026-06-24	(前言平鋪)	119	復活邪魔 重複 — `cdg-1796`「撼天神塔：復活邪魔」為正本，`cdg-4095`「復活邪魔」是 offlinelist 空 stub，待 dedup/merge（2026-06-24）
EDIT	cdg-1800|cdg-4138	cdg-1800:true,cdg-4138:缺檔	2026-06-24	(前言平鋪)	120	撼天神塔VT 重複 — `cdg-1800`「撼天神塔VT：犧牲者之塔」有 chiuinan 圖與 catalog，作正本；`cdg-4138`「撼天神塔VT」為 offlinelist/rwv 空 stub，待 dedup/merge（2026-06-24）
